date,year,month,category,state,county,title,fema_number,area(sq_miles),thousand_square_miles,first,last,change
3/8/2023,2023,3,Flood,NV,Lincoln County,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4708,"109,806",109.806,47.449090909090906,49.09818181818182,1.6490909090909156
2/15/2023,2023,2,Flood,KY,Floyd County,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",4711,"39,732",39.732,52.57454545454546,55.369090909090914,2.7945454545454567
3/9/2023,2023,3,Flood,CA,Nevada County,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",3592,"155,973",155.973,55.77454545454545,57.85454545454545,2.0799999999999983
4/10/2023,2023,4,Flood,ND,Burke County,FLOODING,4717,"68,994",68.994,37.78909090909091,38.44363636363636,0.654545454545449
4/9/2023,2023,4,Flood,SD,Marshall County,FLOODING,4718,"75,898",75.898,42.345454545454544,43.309090909090905,0.9636363636363612
6/8/2023,2023,6,Flood,CO,Kit Carson County,"SEVERE STORMS, FLOODING, AND TORNADOES",4731,"103,730",103.73,42.48363636363637,44.301818181818184,1.818181818181813
2/15/2023,2023,2,Flood,KY,Morgan County,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",4711,"39,732",39.732,52.57454545454546,55.369090909090914,2.7945454545454567
4/10/2023,2023,4,Flood,ND,McHenry County,FLOODING,4717,"68,994",68.994,37.78909090909091,38.44363636363636,0.654545454545449
1/8/2023,2023,1,Flood,CA,Santa Cruz County,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",3591,"155,973",155.973,55.77454545454545,57.85454545454545,2.0799999999999983
3/9/2023,2023,3,Flood,CA,Santa Cruz County,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",3592,"155,973",155.973,55.77454545454545,57.85454545454545,2.0799999999999983
7/9/2023,2023,7,Flood,VT,Addison County,FLOODING,3595,"9,249",9.249,38.94,42.1490909090909,3.2090909090909037
8/3/2023,2023,8,Flood,VT,Addison County,SEVERE STORMS AND FLOODING,4744,"9,249",9.249,38.94,42.1490909090909,3.2090909090909037
7/7/2023,2023,7,Flood,VT,Addison County,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4720,"9,249",9.249,38.94,42.1490909090909,3.2090909090909037
5/12/2023,2023,5,Flood,AK,Lower Kuskokwim Regional Educational Attendance Area,FLOODING,4730,"570,641",570.641,22.956363636363637,26.25090909090909,3.294545454545453
4/11/2023,2023,4,Flood,MN,Marshall County,SEVERE STORMS AND FLOODING,4722,"79,617",79.617,37.972727272727276,39.40727272727273,1.4345454545454572
